active,off,stand_by,repaired_trucks
0.416742236692,0.532574982939,0.0506827803684,889,
0.394144236811,0.564977663617,0.0408780995719,877,
0.414395067653,0.544904680048,0.0407002522989,907,
0.401815340001,0.552539786006,0.045644873993,907,
0.401032332116,0.555721059742,0.0432466081423,862,
0.410642590316,0.544873469314,0.0444839403705,879,
0.422994725089,0.532483713623,0.0445215612876,878,
0.398107992089,0.560180470952,0.0417115369582,867,
0.391688429018,0.573008554924,0.0353030160577,842,
0.386385809002,0.571362817499,0.0422513734993,872,
