0.0,0
1.0,15
2.0,16
3.0,15
4.0,12
5.0,10
6.0,10
7.0,11
8.0,11
9.0,8
10.0,8
11.0,8
12.0,8
13.0,6
14.0,3
15.0,2
16.0,2
17.0,0
18.0,1
19.0,3
20.0,2
21.0,1
22.0,2
23.0,2
24.0,2
25.0,1
26.0,1
27.0,0
28.0,0
29.0,0
30.0,1
31.0,2
32.0,3
33.0,2
34.0,2
35.0,4
36.0,4
37.0,2
38.0,5
39.0,3
40.0,3
41.0,1
42.0,2
43.0,1
44.0,2
45.0,2
46.0,4
47.0,5
48.0,5
49.0,3
50.0,3
51.0,3
52.0,4
53.0,3
54.0,1
55.0,0
56.0,0
57.0,1
58.0,1
59.0,2
60.0,1
61.0,3
62.0,2
63.0,2
64.0,5
65.0,5
66.0,3
67.0,3
68.0,2
69.0,2
70.0,2
71.0,1
72.0,3
73.0,3
74.0,4
75.0,3
76.0,2
77.0,2
78.0,3
79.0,2
80.0,1
81.0,1
82.0,2
83.0,2
84.0,2
85.0,1
86.0,1
87.0,1
88.0,4
89.0,5
90.0,6
91.0,5
92.0,4
93.0,4
94.0,3
95.0,2
96.0,2
97.0,2
98.0,1
99.0,3
