0.0,0
1.0,11
2.0,16
3.0,20
4.0,23
5.0,25
6.0,25
7.0,23
8.0,22
9.0,26
10.0,25
11.0,26
12.0,27
13.0,29
14.0,32
15.0,33
16.0,32
17.0,33
18.0,33
19.0,32
20.0,32
21.0,34
22.0,33
23.0,33
24.0,33
25.0,34
26.0,34
27.0,32
28.0,34
29.0,35
30.0,33
31.0,32
32.0,32
33.0,33
34.0,33
35.0,31
36.0,31
37.0,30
38.0,30
39.0,32
40.0,32
41.0,33
42.0,33
43.0,34
44.0,33
45.0,32
46.0,29
47.0,30
48.0,30
49.0,32
50.0,31
51.0,31
52.0,30
53.0,32
54.0,34
55.0,34
56.0,34
57.0,33
58.0,32
59.0,32
60.0,33
61.0,31
62.0,33
63.0,33
64.0,30
65.0,30
66.0,32
67.0,32
68.0,33
69.0,33
70.0,32
71.0,33
72.0,32
73.0,32
74.0,29
75.0,32
76.0,33
77.0,33
78.0,32
79.0,32
80.0,34
81.0,34
82.0,33
83.0,32
84.0,33
85.0,33
86.0,34
87.0,32
88.0,29
89.0,29
90.0,29
91.0,30
92.0,31
93.0,30
94.0,31
95.0,33
96.0,33
97.0,33
98.0,33
99.0,31
