Tiempo activo,Tiempo en taller,Tiempo en stand-by,Vehiculos reparados
0.21799018244185914,0.7689684517111846,0.013041365846956374,60
0.2578334206750527,0.7290232881730566,0.013143291151890857,47
0.27017627149166074,0.7074948032280026,0.022328925280336635,51
0.2587271326258954,0.7317396560727801,0.009533211301324479,46
0.2561621516246986,0.7343645851713896,0.009473263203911841,53
0.2675106122159366,0.6975237471820784,0.03496564060198495,50
0.2932851836028495,0.681309470410209,0.025405345986941552,50
0.2750323474932931,0.7169134136480996,0.008054238858607303,49
0.24561247338188621,0.7333687914661736,0.02101873515194016,52
0.27376413347855094,0.7179022444585669,0.008333622062882249,64
0.28752847632247086,0.6978264858701304,0.014645037807398738,53
0.27669594682681203,0.709608647650365,0.013695405522822723,59
0.21376286185555243,0.7840198972969312,0.0022172408475162526,60
0.22886893977451847,0.7619482248815503,0.00918283534393134,54
0.22407112646660401,0.7451351638705753,0.03079370966282075,45
0.2817261827541599,0.707555115186949,0.010718702058891055,60
0.29740591300533925,0.6920734065952315,0.010520680399429237,55
0.2019522073313981,0.7869522860949768,0.011095506573625066,47
0.2800615532756097,0.7087215333137613,0.01121691341062914,54
0.27892645851082165,0.6920941301604674,0.02897941132871093,59
0.3044366686432713,0.6799902120513931,0.015573119305335581,55
0.27376838647952895,0.7099190236514777,0.016312589868993265,58
0.20947598171542597,0.7877651573822911,0.0027588609022829408,54
0.29850123647151006,0.6911276486944805,0.010371114834009374,46
0.23777751495797547,0.7501266236367162,0.012095861405308463,55
0.21232808521735658,0.7807761902896512,0.006895724492992209,45
0.25534103125326285,0.7360896853880942,0.008569283358643,47
0.3252794103679907,0.6666415051130559,0.008079084518953441,59
0.23652142200611725,0.750740024438069,0.012738553555813882,49
0.27321207773593903,0.7064136453846068,0.020374276879454225,55
